GTIN,Brand,Category,Name,Weight,Ingredients,# of Ingredients,Price,Calories/Serving,Serving Size,Sugar (g),Total Fiber (g),Sodium,Protein
00030000261903,Quaker,Oatmeal,Fiber Instant Oatmeal Maple & Brown Sugar,"12.6 oz, 8x 1.58 oz","Whole grain oats, chicory root extract, sugar, salt, natural flavor, monk fruit extract.",,,160,1 packet (45 g),7,10,125,4
30000570425,Quaker,Oatmeal,Protein Instant Oatmeal Apples & Cinnamon,360 g (6 x 60 g),"Whole grain oats, sugar, whey protein concentrate, dried apples, whey protein isolate, natural flavor, cinnamon, salt, soy lecithin.",,,220,1 packet (60 g),5,5,210,10
00030000315958,QUAKER,Oatmeal,BANANA NUT PROTEIN INSTANT OATMEAL,12.9 oz (366 g),"Whole grain oats, sugar, whey protein concentrate, walnuts coated with rosemary extract (to help protect flavor), whey protein isolate, dried bananas, salt, banana flakes, soy lecithin, natural flavor",,,245,65 g,14.3,2.86,0,7.8
00030000315989,QUAKER,Oatmeal,PROTEIN INSTANT OATMEAL CRANBERRY ALMOND,372g,"whole grain rolled oats, sugar, whey protein concentrate, almonds, dried cranberries, whey protein isolate, salt, maltodextrin, natural flavor, rice flour, vegetable oils (sunflower, canola, safflower and/or almond oil), soy lecithin,",,,230,1 packet (62 g),12,4,190,12
00030000570517,Quaker,Oatmeal,Instant Oatmeal Strawberries & Cream,"8.4 oz, 8x 1.05 oz packets","Whole grain oats, sugar, dried strawberries, salt, dried cream, natural flavor, nonfat dry milk, sea salt, dried vegetable juice concentrate (color), tocopherols (to preserve freshness).",10,,110,1 packet (30 g),8,2,150,3
810589031735,purely elizabeth,Oatmeal,Classic Cinnamon Superfood Instant Oatmeal,6 x 1.52 oz,"Organic Certified Gluten-Free Oats, Organic Coconut Sugar, Organic Flax Seeds, Organic Chia Seeds, Chicory Root Powder, Cinnamon, Sea Salt, Organic Quinoa Flakes, Organic Puffed Amaranth",9,,160,1 serving (43 g),6,6,135,5
00030000567319,Quaker,Oatmeal,Instant Oatmeal Original,"9.8 oz, 10x 0.98 oz packets","Whole grain oats, calcium carbonate, salt, reduced iron.",4,,100,28 g,0,3,75,4
00030000567340,Quaker,Oatmeal,"Instant Oatmeal Raisin, Date & Walnut","10.4 oz, 8x 1.3 oz packets","Whole grain oats, sugar, raisins, dates, walnuts (walnuts, rosemary extract), salt, cinnamon.",8,,140,1 serving (37 g),11,3,180,3
705599014147,Kodiak,Oatmeal,Protein Packed Oatmeal Maple & Brown Sugar,"10.58 oz, 6x 1.76 oz packets","100% whole grain rolled oats, pea protein concentrate, tapioca starch, cane sugar, milk protein concentrate, brown sugar, maple syrup, whey protein isolate, sunflower lecithin, sea salt, natural flavors.",11,,190,1 packet (50 g),10,3,170,12
00021130284597,Signature Select,Oatmeal,Instant oatmeal Strawberries & Cream,350g,"Whole grain rolled oats, sugar, flavored and colored fruit pieces (dried apples, calcium carbonate, artificial flavor, citric acid and sodium sulfite to preserve color, red 40), creamer (maltodextrin, vegetable oil [soybean and/or palm and/or coconut and/or canola], whey, sodium caseinate [a milk derivative], potassium phosphate), contains less than 2% of: calcium carbonate (a source of calcium), salt, guar gum, natural & artificial flavor, citric acid, ferric phosphate (a source of iron), vitamin a palmitate, niacinamide*, pyridoxine hydrochloride*, riboflavin*, thiamine mononitrate*, folic acid*.",24,,130,1 PACKET (35 g),13,2,180,3
