"GTIN","Brand","Category","Name","Weight","Calories/Serving","Serving Size","Sugar (g)","Total Fiber (g)","Sodium","Protein","# of Ingredients","Price"
"99482421885","Whole Foods","Cereal","Peanut Butter Balls","",421,"1 1/3 cup",26.32,2.6,789,7.89,NA,NA
"99482448639","Whole Foods","Cereal","Organic Peanut Butter & Cocoa Balls","",375,"1 1/4 cup",25,5,525,7.5,NA,NA
"99482452902","Whole Foods","Cereal","Honey Almond Flax Protein & Fiber Crunch Cereal","",379,"3/4 cup",24.14,15.5,233,17.24,NA,NA
"99482438937","Whole Foods","Cereal","Organic Cocoa Rice Crisps","",387,"3/4 cup",29.03,3.2,290,NA,NA,NA
"99482439040","Whole Foods","Cereal","Morning O's","",385,"1 2/3 cup",5.13,7.7,385,12.82,NA,NA
"99482448738","Whole Foods","Cereal","365 everyday value, raisin granola, lightly sweetened organic mix of toasted whole grain oats, crisp brown rice, sweet raisins & crunchy almonds","",439,"3/4 cup",26.32,7,88,8.77,NA,NA
"11110784070","Kroger","Cereal","Mixed Berry Granola","",391,"2/3 cup",31.25,7.8,141,6.25,NA,NA
"11110784117","Kroger","Cereal","Cranberry Apple Cinnamon","",421,"3/4 cup",26.32,7,149,8.77,NA,NA
"11110784094","Kroger","Cereal","Baobab Coconut","",464,"3/4 cup",25,7.1,116,7.14,NA,NA
"11110849410","Kroger","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,3.8,88,4.62,NA,NA
"11110870346","Kroger","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,3.8,231,5.38,NA,NA
"11110894199","Kroger","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,3.8,346,4.62,NA,NA
"11110849403","Kroger","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,3.8,100,5.38,NA,NA
"11110849380","Kroger","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,3.8,100,5.38,NA,NA
"11110849373","Kroger","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,6.2,96,6.15,NA,NA
"11110849397","Kroger","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,3.8,92,4.62,NA,NA
"11110791535","Kroger","Nut & Seed Butters",NA,"",594,"2 Tbsp",6.25,9.4,359,25,NA,NA
"11110791566","Kroger","Nut & Seed Butters",NA,"",594,"2 Tbsp",6.25,6.2,312,21.88,NA,NA
"11110791665","Kroger","Nut & Seed Butters",NA,"",594,"2 Tbsp",6.25,6.2,312,21.88,NA,NA
"85239948729","Target","Cereal","Maple & brown sugar instant oatmeal","",372,"1 PACKET",27.91,7,605,9.3,NA,NA
"85239948736","Target","Cereal","Maple & brown sugar instant oatmeal","",353,"1 PACKET",11.76,8.8,765,11.76,NA,NA
"85239929513","Target","Cereal","Strawberries & cream instant oatmeal","",371,"1 PACKET",37.14,5.7,514,8.57,NA,NA
"99482452759","Whole Foods","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,6.2,77,5.38,NA,NA
"99482452247","Whole Foods","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,6.2,392,4.62,NA,NA
"99482421168","Whole Foods","Canned & Bottled Beans",NA,"",92,"1/2 cup",0.77,6.9,208,5.38,NA,NA
"99482452766","Whole Foods","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,5.4,415,5.38,NA,NA
"99482452254","Whole Foods","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,6.2,385,4.62,NA,NA
"99482452704","Whole Foods","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,6.9,65,5.38,NA,NA
"99482452773","Whole Foods","Canned & Bottled Beans",NA,"",77,"1/2 cup",0.77,4.6,81,5.38,NA,NA
"99482452728","Whole Foods","Canned & Bottled Beans",NA,"",85,"1/2 cup",0.77,6.2,65,5.38,NA,NA
"99482452735","Whole Foods","Canned & Bottled Beans",NA,"",77,"1/2 cup",0,3.8,85,4.62,NA,NA
"99482415242","Whole Foods","Canned & Bottled Beans",NA,"",115,"1/2 cup",8.46,4.6,323,4.62,NA,NA
"99482421403","Whole Foods","Breads & Buns",NA,"",500,"5 CROUTONS",0,0,1000,0,NA,NA
"99482450267","Whole Foods","Nut & Seed Butters",NA,"",625,"2 Tbsp",6.25,6.2,391,21.88,NA,NA
